bird_name,date,speed_2d
Eric,2013-08-15,2.121516513619244
Eric,2013-08-16,2.6181130813134263
Eric,2013-08-17,1.7658086359519083
Eric,2013-08-18,2.9511713834126785
Eric,2013-08-19,2.435545242383901
Eric,2013-08-20,1.830795750387274
Eric,2013-08-21,2.544895689222
Eric,2013-08-22,1.5216306640773267
Eric,2013-08-23,1.6142628478433418
Eric,2013-08-24,1.489674092563865
Eric,2013-08-25,2.0114559337562694
Eric,2013-08-26,1.7235403313014623
Eric,2013-08-27,1.537524800051686
Eric,2013-08-28,2.0927833081565157
Eric,2013-08-29,2.0083117040103646
Eric,2013-08-30,2.6593257817926634
Eric,2013-08-31,2.326942785131615
Eric,2013-09-01,2.6460583474992787
Eric,2013-09-02,2.9298913554771047
Eric,2013-09-03,1.9340127670361196
Eric,2013-09-04,2.2866831269400283
Eric,2013-09-05,1.6418055618269853
Eric,2013-09-06,1.7488957703674608
Eric,2013-09-07,2.9733754114149917
Eric,2013-09-08,1.8865000092608335
Eric,2013-09-09,1.349643666637825
Eric,2013-09-10,2.004686244652282
Eric,2013-09-11,2.6917308197933982
Eric,2013-09-12,2.2457519574666347
Eric,2013-09-13,1.9907131521094719
Eric,2013-09-14,2.8184104678494966
Eric,2013-09-15,1.964872492801887
Eric,2013-09-16,1.7473455016902253
Eric,2013-09-17,1.9429745308158974
Eric,2013-09-18,1.585947916764953
Eric,2013-09-19,2.08513549394031
Eric,2013-09-20,2.098453213571199
Eric,2013-09-21,2.054774454836159
Eric,2013-09-22,1.741698698644007
Eric,2013-09-23,2.5372173876195516
Eric,2013-09-24,1.998368072387903
Eric,2013-09-25,2.49346608350902
Eric,2013-09-26,2.310720739177418
Eric,2013-09-27,2.1459565150859055
Eric,2013-09-28,1.6770431102856374
Eric,2013-09-29,3.2140093395467013
Eric,2013-09-30,2.2871285068261
Eric,2013-10-01,2.412074671170889
Eric,2013-10-02,1.8367818449317306
Eric,2013-10-03,2.611873572220722
Eric,2013-10-04,2.2469565399027602
Eric,2013-10-05,2.271349497016704
Eric,2013-10-06,3.0732418972259454
Eric,2013-10-07,2.0978370606658046
Eric,2013-10-08,1.784778987495718
Eric,2013-10-09,1.9816247367651847
Eric,2013-10-10,2.6648073247209663
Eric,2013-10-11,2.491540588235253
Eric,2013-10-12,1.4411051658552925
Eric,2013-10-13,1.5473745248017694
Eric,2013-10-14,1.7808522260433057
Eric,2013-10-15,2.2358164725184246
Eric,2013-10-16,1.6113538118896342
Eric,2013-10-17,2.354664941925936
Eric,2013-10-18,1.6601033419954592
Eric,2013-10-19,2.596265411386493
Eric,2013-10-20,2.0074525638781546
Eric,2013-10-21,1.7097116908775918
Eric,2013-10-22,2.316805852524434
Eric,2013-10-23,1.4687424910340858
Eric,2013-10-24,1.7000021998501589
Eric,2013-10-25,1.5604804290910923
Eric,2013-10-26,1.3301949946806235
Eric,2013-10-30,1.5007265135136258
Eric,2013-10-31,2.1828153292861083
Eric,2013-11-01,1.7481928389991126
Eric,2013-11-02,1.9568071299898813
Eric,2013-11-03,2.3397248624075733
Eric,2013-11-04,2.088147731590104
Eric,2013-11-05,2.660721262050234
